time;car_heading;bearing_to_goal_north;bearing_to_goal_front_of_car;latitude;longitude;distance
22180;89.999998;130.954805;40.954807;43.610497;1.431283;19.427684
22200;89.999998;130.954805;40.954807;43.610497;1.431283;19.427684
22220;89.999998;130.954805;40.954807;43.610497;1.431283;19.427684
22250;89.999998;130.954805;40.954807;43.610497;1.431283;19.427684
22270;89.999998;131.085016;41.085018;43.610497;1.431284;19.376995
22290;89.999998;131.085016;41.085018;43.610497;1.431284;19.376995
22320;89.999998;131.085016;41.085018;43.610497;1.431284;19.376995
22350;89.999998;131.234663;41.234666;43.610497;1.431285;19.319189
22370;89.999998;131.234663;41.234666;43.610497;1.431285;19.319189
22390;89.999998;131.234663;41.234666;43.610497;1.431285;19.319189
22420;89.999998;131.234663;41.234666;43.610497;1.431285;19.319189
22450;89.999998;131.404090;41.404092;43.610497;1.431286;19.254315
22480;89.999998;131.404090;41.404092;43.610497;1.431286;19.254315
22500;89.999998;131.404090;41.404092;43.610497;1.431286;19.254315
22530;89.999998;131.404090;41.404092;43.610497;1.431286;19.254315
22550;89.999998;131.593684;41.593686;43.610497;1.431287;19.182433
22570;89.999998;131.593684;41.593686;43.610497;1.431287;19.182433
22590;89.999998;131.593684;41.593686;43.610497;1.431287;19.182433
22620;89.999998;131.593684;41.593686;43.610497;1.431287;19.182433
22650;89.999998;131.593684;41.593686;43.610497;1.431287;19.182433
22680;89.999998;131.765535;41.765538;43.610497;1.431288;19.117919
22700;89.999998;131.765535;41.765538;43.610497;1.431288;19.117919
22720;89.999998;131.765535;41.765538;43.610497;1.431288;19.117919
22750;89.999998;131.765535;41.765538;43.610497;1.431288;19.117919
22770;89.999998;132.015820;42.015822;43.610497;1.431289;19.025039
22790;89.999998;132.015820;42.015822;43.610497;1.431289;19.025039
22820;89.999998;132.015820;42.015822;43.610497;1.431289;19.025039
22850;89.999998;132.229512;42.229514;43.610497;1.431291;18.946734
22870;89.999998;132.229512;42.229514;43.610497;1.431291;18.946734
22890;89.999998;132.229512;42.229514;43.610497;1.431291;18.946734
22910;89.999998;132.229512;42.229514;43.610497;1.431291;18.946734
22950;89.999998;132.366419;42.366421;43.610497;1.431292;18.897042
22980;89.999998;132.366419;42.366421;43.610497;1.431292;18.897042
23000;89.999998;132.366419;42.366421;43.610497;1.431292;18.897042
23020;89.999998;132.366419;42.366421;43.610497;1.431292;18.897042
23050;89.999997;132.583017;42.583019;43.610497;1.431293;18.819173
